title,current price,original price,rating,reviews,off percentage
"DELL Inspiron 3530 Intel Core i7 13th Gen 1355U� - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.62 Kg, With MS Office)",67490.0,88997.0,4.2,198 Ratings,24% off
"HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fa1099TX Gaming Laptop  (15.6 inch, Mica Silver, 2.37 Kg, With MS Office)",76490.0,89000.0,4.2,249 Ratings,14% off
"DELL Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) D552269WIN9S Laptop  (16 inch, Titan Grey, With MS Office)",75990.0,86000.0,3.7,(549),11% off
"HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) 15-FB3120AX Gaming Laptop  (15.6 inch, Blue, 2.29 Kg, With MS Office)",67890.0,84838.0,4.2,"(4,472)",19% off
"MSI Commercial 14 H Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) Commercial 14 H A13MG vPro-069IN Thin and Light Laptop  (14 inch, Gray, 1.6 Kg)",57990.0,106990.0,4.2,31 Ratings,45% off
"Lenovo AMD Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 3050) 15ARH7 Gaming Laptop  (15.6 inch, Onyx_grey, With MS Office)",78990.0,100190.0,3.7,(156),21% off
"Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-757P Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)",94990.0,144999.0,4.4,"1,345 Ratings",34% off
"DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) New Inspiron 15 Metal Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver Aluminium, 1.63 Kg, With MS Office)",75990.0,91000.0,3.9,13 Ratings,16% off
"Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71 Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)",87499.0,129999.0,4.4,775 Ratings,32% off
"DELL Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) IC7430VVR8C001ORS1 Laptop  (14 inch, Platinum Silver, With MS Office)",79890.0,101921.0,4.2,(895),21% off
"ASUS Vivobook 16X For Creator, Intel H-Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz/50 TGP) K3605ZC-MB541WS Gaming Laptop  (16 Inch, Black, 1.80 Kg, With MS Office)",79965.0,92999.0,4.2,681 Ratings,14% off
"Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Chromebook  (11.6 Inch, Graphite Grey, 1.23 Kg)",8499.0,16298.0,3.9,"1,357 Ratings",47% off
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",15990.0,33399.0,3.8,"5,717 Ratings",52% off
